title,authors,isbn13,# num_pages,average_rating,ratings_count,text_reviews_count,book_rating_count,book_review_count,clusters
V.,Thomas Pynchon,9780060930219,547,3.96,1364,176,17368,913,2
V.,Thomas Pynchon,9780060930219,547,3.96,1364,176,17371,913,2
The Crying of Lot 49,Thomas Pynchon,9780060931674,152,3.7,2132,229,59689,3866,7
Gravity's Rainbow,Thomas Pynchon,9780140283389,784,4.02,752,211,31024,2746,2
Mason & Dixon,Thomas Pynchon,9780312423209,773,4.06,7756,570,8248,662,4
Vineland,Thomas Pynchon,9780141180632,385,3.68,668,64,8473,537,7
Gravity's Rainbow,Thomas Pynchon,9780143039945,776,4.02,28034,2058,31024,2746,2
The Year of Magical Thinking,Joan Didion,9781400043149,227,3.88,2507,328,114019,8708,2
The White Album,Joan Didion,9780374522216,222,4.17,10584,651,11572,796,4
The Brooklyn Follies,Paul Auster,9780312426231,306,3.83,17317,1138,20246,1480,2
Moon Palace,Paul Auster,9780140115857,320,3.98,14594,475,16664,736,2
Timbuktu,Paul Auster,9780312263997,181,3.68,9200,599,10595,826,7
The Music of Chance,Paul Auster,9780140154078,217,3.9,354,35,8548,432,2
Travels in the Scriptorium,Paul Auster,9780805081459,145,3.23,6492,558,8008,774,7
Leviathan,Paul Auster,9780140178135,275,3.95,11238,420,13116,598,2
The Red Notebook: True Stories,Paul Auster,9780811214988,104,3.77,2306,114,3309,220,2
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,9780143036555,608,3.93,49219,2672,50431,2895,2
My Inventions,Nikola Tesla,9781599869940,88,4.01,2506,224,3863,329,2
Lord of the Flies,William Golding,9780307281708,6,3.67,369,86,1840595,30634,5
Lord of the Flies,William Golding,9780307281708,6,3.67,369,86,1841591,30660,5
Lord of the Flies,William Golding,9780307281708,6,3.67,369,86,1841607,30660,5
Lord of the Flies,William Golding,9780307281708,6,3.67,369,86,1841763,30664,5
The Lovely Bones,Alice Sebold,9780330485388,328,3.79,6315,960,1786839,38270,5
The Lovely Bones,Alice Sebold,9780330485388,328,3.79,6315,960,1787673,38279,5
The Lovely Bones,Alice Sebold,9781594130236,532,3.79,366,75,1786839,38270,5
The Lovely Bones,Alice Sebold,9781594130236,532,3.79,366,75,1787673,38279,5
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,9780743264464,245,3.83,25004,1104,24954,1162,2
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,9780060589462,540,3.77,157734,6101,169988,7350,2
Anthem,Ayn Rand,9780452281257,105,3.63,106642,6951,116408,8004,7
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,9780375755194,192,4.23,11894,608,12059,625,4
Digging to America,Anne Tyler,9780307263940,277,3.55,16703,1811,18371,2094,7
The Plot Against America,Philip Roth,9781400079490,391,3.75,31270,2749,33809,3020,2
Cryptonomicon,Neal Stephenson,9780060512804,1139,4.25,80225,4104,88413,4741,4
Snow Crash,Neal Stephenson,9780553380958,438,4.03,187493,6601,205599,7899,6
The Design of Everyday Things,Donald A. Norman,9780465067107,240,4.19,15854,1236,19048,1462,4
The Design of Everyday Things,Donald A. Norman,9780465067107,240,4.19,15854,1236,19068,1463,4
The Kite Runner,Khaled Hosseini,9780747588948,324,4.28,1213,201,2077166,64615,8
Pompeii,Robert   Harris,9780812974614,304,3.81,25729,1633,29978,2062,2
Of Mice and Men,John Steinbeck,9780142000670,112,3.86,1654353,23959,1662561,27999,1
Of Mice and Men,John Steinbeck,9780142000670,112,3.86,1654353,23959,1663531,28040,1
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,9780060554736,464,3.74,19305,1510,21410,1655,2
The Westing Game,Ellen Raskin,9780142401200,182,4.02,134362,8278,137892,8933,6
The Egypt Game,Zilpha Keatley Snyder,9780808553038,215,3.82,29160,1083,30152,1281,2
Memoirs of a Geisha,Arthur Golden,9781400096893,503,4.1,211763,3015,1525851,27168,5
Memoirs of a Geisha,Arthur Golden,9781400096893,503,4.1,211763,3015,1526205,27175,5
Memoirs of a Geisha,Arthur Golden,9781400096893,503,4.1,211763,3015,1526618,27192,5
Memoirs of a Geisha,Arthur Golden,9780739326220,434,4.1,1301305,19452,1525851,27168,1
Memoirs of a Geisha,Arthur Golden,9780739326220,434,4.1,1301305,19452,1526205,27175,1
Memoirs of a Geisha,Arthur Golden,9780739326220,434,4.1,1301305,19452,1526618,27192,1
Memoirs of a Geisha,Arthur Golden,9780099498186,497,4.1,2075,254,1525851,27168,5
Memoirs of a Geisha,Arthur Golden,9780099498186,497,4.1,2075,254,1526205,27175,5
Memoirs of a Geisha,Arthur Golden,9780099498186,497,4.1,2075,254,1526618,27192,5
Memoirs of a Geisha,Arthur Golden,9780099771517,493,4.1,3883,425,1525851,27168,5
Memoirs of a Geisha,Arthur Golden,9780099771517,493,4.1,3883,425,1526205,27175,5
Memoirs of a Geisha,Arthur Golden,9780099771517,493,4.1,3883,425,1526618,27192,5
The Da Vinci Code,Dan Brown,9780767926034,467,3.82,1109,110,1668594,43699,5
Deception Point,Dan Brown,9781416524809,736,3.7,4864,410,526056,8435,7
Deception Point,Dan Brown,9780671027384,556,3.7,511233,6870,526056,8435,6
Deception Point,Dan Brown,9780552151764,585,3.7,3213,178,526056,8435,7
Deception Point,Dan Brown,9780593055076,448,3.7,60,4,526056,8435,7
Deception Point,Dan Brown,9781416524885,736,3.7,87,12,526056,8435,7
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,9781585424337,320,4.18,88437,2305,140804,4270,4
The Richest Man in Babylon,George S. Clason,9780451205360,194,4.25,67697,2865,70852,3402,4
The Richest Man in Babylon,George S. Clason,9781419349997,4,4.25,78,12,70852,3402,4
1776,David McCullough,9780743226721,386,4.07,158126,6034,159234,6474,6
1776,David McCullough,9780743226721,386,4.07,158126,6034,159376,6474,6
Gap Creek,Robert Morgan,9781565122420,326,3.73,282,42,46198,1516,7
The Good Earth,Pearl S. Buck,9780671823498,260,3.98,54,7,205238,8937,2
The Good Earth,Pearl S. Buck,9780671823498,260,3.98,54,7,205311,8940,2
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,9780060838584,399,3.74,187311,4923,190528,5242,2
Snow Flower and the Secret Fan,Lisa See,9780812968064,269,4.07,296789,14990,312880,16647,6
The Broker,John Grisham,9780385340540,422,3.78,70174,2245,74835,2521,2
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,9780394720241,1344,4.5,9845,1109,9329,1058,4
Liar's Poker,Michael   Lewis,9780140143454,256,4.15,22710,931,63622,1874,4
Life of Pi,Yann Martel,9780156030205,401,3.9,4242,672,1149762,44771,5
Life of Pi,Yann Martel,9780156030205,401,3.9,4242,672,1150218,44779,5
A Million Little Pieces,James Frey,9780307276902,432,3.63,195863,10669,197835,11197,7
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,9780393324815,317,4.26,78308,4002,80056,4413,4
Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,9780553383683,392,4.41,20649,1530,23655,1734,4
Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,9780553383683,392,4.41,20649,1530,23672,1736,4
Tides of War,Steven Pressfield,9780553381399,448,3.89,3285,150,3627,176,2
Last of the Amazons,Steven Pressfield,9780553382044,400,3.75,2083,121,2421,154,2
The Complete Works,William Shakespeare,9780517092941,1248,4.49,62,6,47899,756,4
The Complete Works,William Shakespeare,9780517092941,1248,4.49,62,6,47912,756,4
Warrior of the Light,Paulo Coelho,9780060527983,142,3.7,21578,905,25792,1256,7
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9781400032716,226,3.87,991627,34202,1007662,39191,1
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9781400032716,226,3.87,991627,34202,1008062,39215,1
West with the Night,Beryl Markham,9780865471184,294,4.19,23110,2370,25151,2577,4
Twelfth Night,William Shakespeare,9780743482776,220,3.98,133832,2321,140705,2999,2
Brokeback Mountain,Annie Proulx,9780743271325,55,3.94,23424,1595,25092,1910,2
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,9780142000281,267,3.99,95950,3597,98791,4145,2
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,9780060934910,302,4.06,2428,275,171096,9135,2
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,9781585424832,408,3.41,1395,219,1656,286,7
The Men Who Stare at Goats,Jon Ronson,9780743270601,259,3.6,9956,858,12357,1127,7
Into the Wild,Jon Krakauer,9780385486804,207,3.97,754275,17497,748397,18920,1
Into the Wild,Jon Krakauer,9780385486804,207,3.97,754275,17497,748792,18934,1
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,9780785268833,256,3.92,55195,1515,59708,1779,2
Wild Swans: Three Daughters of China,Jung Chang,9780743246989,562,4.25,69142,4103,75426,4864,4
Wild Swans: Three Daughters of China,Jung Chang,9780743246989,562,4.25,69142,4103,75457,4866,4
Wild Swans: Three Daughters of China,Jung Chang,9780743246989,562,4.25,69142,4103,75469,4868,4
Wild Swans: Three Daughters of China,Jung Chang,9780743246989,562,4.25,69142,4103,75496,4868,4
The Call of the Wild,Jack London,9780439227148,172,3.85,255627,6478,276707,7928,2
The Call of the Wild,Jack London,9780439227148,172,3.85,255627,6478,276871,7932,2
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,9780805063899,240,3.62,163279,5673,165011,6046,7
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2454879,54359,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455055,54361,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455128,54363,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455379,54368,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455518,54371,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455623,54371,8
Pride and Prejudice,Jane Austen,9780192802385,333,4.25,2369,259,2455767,54375,8
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,9781400032808,399,3.99,7271,1002,135381,9523,2
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,9780385494786,368,4.15,327791,11023,325311,11557,6
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,9780374292799,616,3.68,85459,2797,90194,3434,7
Little Women,Louisa May Alcott,9780451529305,449,4.06,1402458,15525,1429608,19045,1
Little Women,Louisa May Alcott,9780451529305,449,4.06,1402458,15525,1430177,19058,1
Little Women,Louisa May Alcott,9780451529305,449,4.06,1402458,15525,2092,211,1
Little Women,Louisa May Alcott,9781904633273,327,4.06,74,8,1429608,19045,5
Little Women,Louisa May Alcott,9781904633273,327,4.06,74,8,1430177,19058,5
Little Women,Louisa May Alcott,9781904633273,327,4.06,74,8,2092,211,2
A Tale of Two Cities,Charles Dickens,9780486406510,293,3.83,901,74,725554,14594,6
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,9780439321624,240,4.4,11459,143,12522,188,4
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,9780670034727,448,3.89,9703,319,10564,415,2
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,9780684824710,588,4.04,12663,227,12426,246,2
The Universe in a Nutshell,Stephen Hawking,9780553802023,216,4.15,27792,615,28606,767,4
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,9780762419227,1160,4.06,1650,50,1739,60,4
The Hours,Michael Cunningham,9781841150352,230,3.93,1533,122,115642,4456,2
Specimen Days,Michael Cunningham,9780312425029,336,3.58,4380,441,5178,544,7
A Home at the End of the World,Michael Cunningham,9780312424084,342,3.9,14277,644,16052,842,2
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,9780316172325,277,3.92,4089,345,407272,13220,6
Blink,Ted Dekker,9780849945113,400,4.17,12968,489,14970,773,4
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,9780739455296,296,3.92,65,2,407272,13220,6
The Jane Austen Book Club,Karen Joy Fowler,9780452286535,288,3.08,56434,3445,59821,4102,7
The Old Man and the Sea,Ernest Hemingway,9780684830490,132,3.76,628067,14689,661870,19549,1
The Old Man and the Sea,Ernest Hemingway,9780684830490,132,3.76,628067,14689,662245,19562,1
The Old Man and the Sea,Ernest Hemingway,9780684718057,127,3.76,1160,116,661870,19549,6
The Old Man and the Sea,Ernest Hemingway,9780684718057,127,3.76,1160,116,662245,19562,6
The Old Man and the Sea,Ernest Hemingway,9780684163260,127,3.76,761,86,661870,19549,6
The Old Man and the Sea,Ernest Hemingway,9780684163260,127,3.76,761,86,662245,19562,6
Flaubert's Parrot,Julian Barnes,9780679731368,190,3.66,8925,567,10544,795,7
Middlesex,Jeffrey Eugenides,9780312422158,529,3.99,526111,19312,539113,21898,1
John Adams,David McCullough,9780743223133,751,4.06,264047,5172,256641,5720,6
On Death and Dying,Elisabeth Kübler-Ross,9780684842233,288,4.16,140,11,21950,405,4
The 7 Habits of Highly Effective People Personal Workbook,Stephen R. Covey,9780743250979,192,4.22,1685,102,1731,95,4
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,9781932073201,240,4.14,38159,1561,40190,1716,4
Truman,David McCullough,9780671869205,1120,4.11,69904,1854,69940,1996,4
Whitethorn,Bryce Courtenay,9780670029228,683,4.07,2203,130,2335,148,4
John Adams,David McCullough,9780684813639,752,4.06,1785,276,256641,5720,2
The List,Steve Martini,9780515121490,451,3.96,12329,135,12379,148,2
The Innocents Abroad,Mark Twain,9780812967050,560,3.86,8540,663,9962,829,2
On the Road,Jack Kerouac,9780143036388,320,3.63,480,39,301429,13085,7
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9780316346627,301,3.95,589855,11431,573862,11787,6
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,9780060521998,286,3.99,28568,693,30243,829,2
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3745197,79450,8
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3746569,79475,8
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3746774,79478,8
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3747139,79489,8
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3747334,79493,8
To Kill a Mockingbird,Harper Lee,9780060935467,323,4.27,10005,877,3747826,79508,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3745197,79450,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3746569,79475,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3746774,79478,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3747139,79489,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3747334,79493,8
To Kill a Mockingbird,Harper Lee,9780061205699,323,4.27,250,32,3747826,79508,8
The Bonfire of the Vanities,Tom Wolfe,9780553381344,690,3.84,57301,2105,60784,2457,2
A Modest Proposal and Other Satirical Works,Jonathan Swift,9780486287591,64,4.05,13312,137,13629,174,2
Salt: A World History,Mark Kurlansky,9780142001615,484,3.74,46854,2848,46594,2948,2
The Years of Rice and Salt,Kim Stanley Robinson,9780553580075,763,3.73,8884,939,9569,1035,7
Anansi Boys,Neil Gaiman,9780060515195,387,4.02,153485,6986,168668,8731,6
Anansi Boys,Neil Gaiman,9780060515195,387,4.02,153485,6986,168755,8733,6
Microserfs,Douglas Coupland,9780060987046,371,3.88,20391,715,22178,854,2
Microserfs,Douglas Coupland,9780007179817,371,3.88,436,37,22178,854,2
Microserfs,Douglas Coupland,9780006548591,371,3.88,369,22,22178,854,2
A People's History of the United States,Howard Zinn,9780060838652,729,4.08,156036,4511,154448,4748,4
A People's History of the United States,Howard Zinn,9780060838652,729,4.08,156036,4511,154470,4749,4
Ways of Seeing,John Berger,9780140135152,176,3.78,177890,998,162138,1031,2
The Crying of Lot 49,Thomas Pynchon,9780060913076,152,3.7,54061,3177,59689,3866,7
Passionate Minds,David Bodanis,9780307237200,373,4.08,694,111,849,135,4
Bridge to Terabithia,Katherine Paterson,9780439366779,128,3.99,362535,8360,384779,10445,6
Bridge to Terabithia,Katherine Paterson,9780440841210,128,3.99,100,19,384779,10445,6
The Great Gilly Hopkins,Katherine Paterson,9780380652198,148,3.84,10,1,19528,1136,2
Girl with a Pearl Earring,Tracy Chevalier,9780452284937,233,3.87,1134,126,549984,8618,6
Girl with a Pearl Earring,Tracy Chevalier,9780452284937,233,3.87,1134,126,550263,8620,6
Girl with a Pearl Earring,Tracy Chevalier,9780452287020,233,3.87,537907,6627,549984,8618,6
Girl with a Pearl Earring,Tracy Chevalier,9780452287020,233,3.87,537907,6627,550263,8620,6
Falling Angels,Tracy Chevalier,9780452283206,336,3.57,19784,1184,21216,1341,7
Falling Angels,Tracy Chevalier,9780452283206,336,3.57,19784,1184,21218,1341,7
The Virgin Blue,Tracy Chevalier,9780452284449,304,3.66,25334,1563,26468,1677,7
The Lady and the Unicorn,Tracy Chevalier,9780965903530,0,3.68,303,24,37809,1766,7
The Pigeon,Patrick Süskind,9780140105834,77,3.68,5832,387,9755,1035,7
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,9780156001458,272,4.25,5128,793,5028,779,4
Brian's Winter,Gary Paulsen,9780385321983,133,4.01,65,11,22097,1387,2
Robinson Crusoe,Daniel Defoe,9780760704028,397,3.67,70,8,215891,5301,7
Robinson Crusoe,Daniel Defoe,9781587263880,288,3.67,311,18,215891,5301,7
The Kite Runner,Khaled Hosseini,9781594481772,383,4.28,5241,592,2077166,64615,8
Lost Horizon,James Hilton,9780060594527,241,3.92,11794,940,14711,1238,2
The Secret Garden,Frances Hodgson Burnett,9780517189603,331,4.13,725384,11113,763910,14897,1
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,9780465081455,448,4.31,5357,396,6176,503,4
Black Rednecks and White Liberals,Thomas Sowell,9781594030864,372,4.36,2282,270,2401,294,4
Applied Economics: Thinking Beyond Stage One,Thomas Sowell,9780465081431,256,4.14,1466,121,1562,135,4
Alcoholics Anonymous,Alcoholics Anonymous,9780916856595,250,4.44,22,0,6829,350,4
Alcoholics Anonymous,Alcoholics Anonymous,9781893007161,576,4.44,466,28,6829,350,4
A Room with a View,E.M. Forster,9781420925432,119,3.9,120061,3224,129910,4542,2
Howards End,E.M. Forster,9780486424545,246,3.96,54709,1429,66303,2437,2
Maurice,E.M. Forster,9780393310320,256,4.01,20440,892,22027,1222,2
Howards End,E.M. Forster,9780141183350,352,3.96,367,26,66303,2437,2
The Sixteen Pleasures,Robert Hellenga,9780385314695,384,3.58,2636,334,2737,341,7
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,9781594200823,450,4.18,147893,10334,159289,12258,6
Assassination Vacation,Sarah Vowell,9780743260046,258,3.98,35231,3322,36538,3595,2
The Stories of Eva Luna,Isabel Allende,9780743217187,352,3.97,12501,372,14775,613,2
Self,Yann Martel,9780571219766,331,3.41,2265,140,2433,169,7
Generation X: Tales for an Accelerated Culture,Douglas Coupland,9780349108391,211,3.73,21537,783,24321,1007,7
Girlfriend in a Coma,Douglas Coupland,9780060987329,288,3.61,15469,606,17169,775,7
The Thorn Birds,Colleen McCullough,9780060837556,673,4.23,516,62,286194,5053,4
The Thorn Birds,Colleen McCullough,9780751506006,591,4.23,71,2,286194,5053,4
Morgan's Run,Colleen McCullough,9780671024185,848,3.94,3394,186,3953,242,2
The Five People You Meet in Heaven,Mitch Albom,9781401308582,196,3.92,494652,15885,501872,17931,1
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9780099450252,272,3.87,15608,1537,1007662,39191,5
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9780099450252,272,3.87,15608,1537,1008062,39215,5
Going After Cacciato,Tim O'Brien,9780767904421,351,3.9,10041,613,10465,664,2
In the Lake of the Woods,Tim O'Brien,9780618709861,303,3.78,14031,1156,14931,1275,2
The Rescue,Nicholas Sparks,9780446696128,352,4.1,151617,3058,156936,3496,4
A Bend in the Road,Nicholas Sparks,9780446696135,341,4.03,123319,3173,129424,3610,2
The People of Sparks,Jeanne DuPrau,9780375828256,338,3.66,44751,3118,46676,3261,7
Nights in Rodanthe,Nicholas Sparks,9780446691796,212,3.83,1570,158,143421,4211,2
Message in a Bottle,Nicholas Sparks,9780446606813,370,3.96,2714,224,202896,4001,2
A Walk to Remember,Nicholas Sparks,9780446693806,240,4.16,555926,10210,583106,11879,6
Message in a Bottle,Nicholas Sparks,9780446676076,342,3.96,197377,3431,202896,4001,2
Special Topics in Calamity Physics,Marisha Pessl,9780670037773,514,3.71,31644,4171,36557,5019,7
From Beirut to Jerusalem,Thomas L. Friedman,9780385413725,541,4.11,8796,699,9228,738,4
The Giver,Lois Lowry,9780385732550,208,4.12,1464909,54469,1452412,58451,3
The Giver,Lois Lowry,9780385732550,208,4.12,1464909,54469,1453452,58489,3
The Giver,Lois Lowry,9780385732550,208,4.12,1464909,54469,1453734,58496,3
The Sea,John Banville,9781400097029,195,3.51,18513,1722,20886,2079,7
The Sea,John Banville,9780307263117,195,3.51,576,103,20886,2079,7
The Untouchable,John Banville,9780330339315,405,3.96,9,2,2415,261,2
The Book of Evidence,John Banville,9780375725234,220,3.71,3092,269,3640,350,7
On Beauty,Zadie Smith,9780143037743,445,3.72,51261,3577,55832,4250,7
Truth and Beauty,Ann Patchett,9780060572150,257,3.94,29983,2583,31283,2831,2
The Heart of the Matter,Graham Greene,9780099478423,272,3.99,21116,834,22889,1132,2
The Autograph Man,Zadie Smith,9780375703874,347,3.15,9202,558,10225,685,7
White Teeth,Zadie Smith,9780375703867,448,3.76,96220,5370,101795,6104,2
Stranger than Fiction,Chuck Palahniuk,9780385722223,233,3.57,18175,631,20826,792,7
Moonraker's Bride,Madeleine Brent,9780449235942,319,4.3,53,13,2478,370,4
On the Road,Jack Kerouac,9780140283297,293,3.63,7407,515,301429,13085,7
The Dharma Bums,Jack Kerouac,9780141184883,204,3.93,1295,74,72275,2574,2
The Dharma Bums,Jack Kerouac,9780141184883,204,3.93,1295,74,72295,2576,2
The Subterraneans,Jack Kerouac,9780141184890,192,3.68,416,41,12321,469,7
The Corrections,Jonathan Franzen,9781841156736,653,3.79,128702,7314,141320,8688,2
Holy Cow: An Indian Adventure,Sarah Macdonald,9780767915748,304,3.53,14943,1081,15280,1140,7
The History of Love,Nicole Krauss,9780393328622,255,3.92,107024,9640,111190,10242,2
A Brief History of Time,Stephen Hawking,9780553380163,212,4.16,214520,5300,220357,6514,6
A Short History of Nearly Everything,Bill Bryson,9780767923224,624,4.2,342,37,233964,10106,4
A History of the World in 6 Glasses,Tom Standage,9780802715524,336,3.76,13105,1564,14855,1799,2
The Sun Also Rises,Ernest Hemingway,9780684830513,222,3.82,1599,143,326894,10906,2
The Sun Also Rises,Ernest Hemingway,9780684830513,222,3.82,1599,143,327054,10910,2
London is the Best City in America,Laura Dave,9780670037568,256,3.46,2122,233,2525,293,7
The Fall of Hyperion,Dan Simmons,9780747203445,480,4.2,6,0,79202,2658,4
The Terror,Dan Simmons,9780316017442,769,4.05,28640,3018,31018,3431,2
The Terror,Dan Simmons,9780316017442,769,4.05,28640,3018,31038,3435,2
A Winter Haunting,Dan Simmons,9780380817160,371,3.59,5835,447,6054,461,7
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,9780744583274,178,4.15,154761,5057,157641,6045,4
The Amazing Adventures of Kavalier & Clay,Michael Chabon,9780312282998,639,4.17,161137,8971,168304,10044,6
Nine Stories,J.D. Salinger,9780316767729,198,4.19,110786,2817,120991,3721,4
American Psycho,Bret Easton Ellis,9780330484770,399,3.82,835,76,197145,8479,2
